Start Time: 2022-06-28 17:27:15.565758; End Time: 2022-06-29 23:51:02.171652;
Size: 5482; Interval: 15
ask,bid
20700.40799,20552.60772
20702.21455,20552.47
20691.6763,20543.31494
20690.47192,20540.8
20670.39906,20520.40708
20676.52129,20528.16
20679.33149,20530.73
20685.65444,20538.44
20695.79123,20545.61492
20702.81673,20552.58942
20704.52292,20554.71
20700.20726,20549.99889
20704.0211,20554.32
20705.52657,20555.82
20725.04548,20580.6867
20729.01181,20578.59435
20737.64314,20587.16302
20725.69979,20579.88
20742.9,20592.84226
20735.75,20587.9601
20726.10125,20575.70491
20727.01,20583.97468
20730.71801,20580.28815
20730.56,20580.69264
20729.81473,20579.39143
20728.61036,20578.1958
20724.79651,20574.40964
20725.29833,20574.90782
20716.667,20567.03
20722.28741,20571.91875
20718.77465,20568.4315
20721.98631,20571.94
20720.07939,20569.72677
20720.17975,20569.8264
20722.47,20572.91511
20720.98267,20570.62349
20717.57028,20569.0
20686.61,20537.44479
20683.84788,20533.75826
20685.85517,20537.16
20693.78395,20543.6222
20698.19997,20548.00617
20696.9956,20547.9
20695.08868,20545.74
20694.38613,20544.9
20689.06682,20538.93932
20681.33877,20531.36
20683.14533,20533.06081
20675.31692,20525.82
20673.38,20526.78376
20666.0834,20516.12274
20665.42,20520.50671
20679.53222,20529.47393
20677.92639,20527.87976
20673.30963,20523.45
20674.91546,20524.89068
20675.71837,20526.43
20682.29,20540.53349
20693.78395,20543.6222
20690.47192,20540.33422
20695.39043,20545.31601
20697.49742,20547.61
20691.27484,20541.13131
20691.87702,20541.72912
20687.85,20538.93932
20700.88,20550.89561
20696.03,20549.99889
20695.43,20549.10217
20700.30762,20550.09853
20696.09232,20545.91382
20692.67994,20542.52621
20692.07775,20541.92839
20691.97739,20541.82876
20705.4262,20555.17995
20706.53021,20557.27
20703.82037,20555.47
20697.79852,20547.79
20673.00854,20522.99761
20679.43185,20529.37429
20674.21291,20527.28
20683.64715,20533.55899
20665.68194,20528.18
20669.49579,20519.51035
20673.61,20526.98303
20687.83983,20539.53714
20691.3752,20541.23094
20699.70544,20549.50071
20698.80216,20548.60399
20689.16719,20539.03896
20687.26027,20537.14588
20690.77302,20540.63313
20690.07047,20539.93568
20685.45371,20535.35244
20689.9701,20539.83604
20694.8,20544.81783
20702.4,20552.98796
20694.39,20548.73
20704.62329,20554.38286
20691.3752,20541.54629
20695.38977,20545.21637
20695.18905,20545.0171
20696.19269,20548.2
20692.67994,20542.52621
20692.47921,20542.32694
20686.15626,20536.04989
20681.5395,20531.46664
20672.80781,20522.79833
20668.99396,20519.01218
20671.43,20527.28194
20677.42457,20527.38158
20676.61,20527.18231
20685.19,20535.15316
20679.43185,20529.37429
20682.9446,20532.86154
20671.30234,20524.84
20664.07611,20514.13002
20664.97939,20517.43525
20665.28049,20515.40066
20662.16919,20512.23695
20657.75316,20507.85297
20663.77502,20513.83112
20655.04333,20513.34
20653.03604,20503.17009
20652.93568,20503.07046
20658.05426,20508.15188
20661.76774,20511.8384
20659.35899,20509.44714
20672.00489,20522.00125
20681.03768,20530.96846
20667.4885,20517.51764
20670.2987,20520.30744
20672.74,20525.13
20667.08704,20517.1191
20670.92,20522.89797
20664.17648,20514.39441
20668.58,20519.41072
20676.09,20527.38158
20685.50569,20537.64406
20667.68923,20517.71691
20664.07611,20515.93
20660.66373,20510.74241
20659.76045,20509.84569
20655.54515,20507.52
20653.8,20503.96718
20647.51601,20499.05
20652.83531,20502.97082
20648.82074,20498.98539
20654.03968,20504.16645
20652.83531,20502.97082
20668.09069,20518.11545
20663.77502,20513.83112
20661.31,20511.63913
20647.61637,20498.22
20637.27885,20487.88
20630.25335,20480.55278
20629.04898,20481.64
20602.45244,20457.09035
20627.97,20480.45315
20626.53987,20476.86626
20616.40307,20466.80305
20606.26628,20456.73984
20590.30117,20441.55
20588.40144,20439.00468
20588.80289,20441.15
20587.39779,20438.61
20579.36865,20432.37
20502.4896,20356.53
20448.06537,20315.95443
20489.20777,20358.499
20506.20308,20357.40301
20478.70326,20341.27
20466.45882,20319.13
20462.2,20315.556
20476.77108,20333.3908
20475.3148,20330.66
20457.72484,20312.16838
20439.41,20292.44051
20447.99179,20299.68
20449.39689,20301.00918
20446.58669,20298.21938
20441.66884,20293.33723
20437.45,20290.84634
20420.79307,20272.613
20416.17631,20269.72
20418.98651,20270.81955
20425.00837,20286.31
20415.17267,20279.73
20421.89708,20273.70899
20425.3,20282.77584
20387.2714,20239.85768
20385.16375,20240.76
20394.66921,20248.20224
20387.5663,20240.72956
20390.82633,20244.51572
20394.17,20248.99933
20357.26247,20210.85
20376.09532,20233.05761
20360.69,20215.42208
20346.44,20202.07089
20335.98524,20188.42079
20332.58,20187.62371
20320.9306,20173.47543
20318.62222,20171.18381
20320.97513,20176.26523
20313.6,20170.38673
20371.21311,20227.33
20377.43569,20230.41
20365.68,20217.91297
20380.2459,20232.36016
20347.71,20200.77563
20342.70965,20201.96
20347.16158,20203.16688
20366.99781,20219.20824
20379.25,20239.43429
20376.33169,20228.47436
20371.95008,20226.28238
20378.9,20233.85469
20369.82,20222.89476
20353.37,20206.35523
20354.07,20207.05268
20357.23,20211.83519
20351.13,20204.16324
20328.75901,20183.18403
20331.26812,20184.39
20334.27905,20187.98
20358.26612,20210.53993
20342.40856,20194.79748
20339.03,20193.70149
20341.90674,20194.2993
20348.02896,20200.37708
20338.19326,20190.61278
20345.15,20199.38073
20362.38105,20214.99
20354.04,20210.24102
20359.15,20211.43665
20351.24062,20203.56543
20363.88652,20216.11953
20368.704,20220.90205
20361.97959,20214.22645
20350.4377,20205.87
20356.45956,20210.33
20368.40291,20220.60314
20377.53606,20232.43
20375.37366,20227.67
20368.704,20220.90205
20370.51056,20222.69549
20364.18761,20217.07
20350.53807,20204.18
20352.04353,20205.11
20344.09,20198.38437
20355.65664,20207.9494
20351.44134,20203.7647
20351.74244,20204.06361
20335.48342,20187.92262
20339.59836,20192.00768
20336.24533,20194.2993
20326.95246,20179.45358
20309.1512,20165.20567
20319.41261,20174.41
20327.33423,20180.05139
20348.17305,20204.01
20357.15153,20212.91
20355.25519,20208.09
20338.89581,20195.34
20341.80637,20196.15
20352.84644,20205.1596
20341.60564,20194.0004
20343.81366,20196.38
20335.88488,20188.6
20336.98889,20189.65
20338.69508,20192.12
20356.20557,20210.83884
20352.14389,20204.46215
20346.52349,20203.88
20345.41949,20198.27
20360.87559,20213.44
20352.2163,20214.5
20356.33122,20214.8
20335.78451,20199.56343
20359.67122,20211.93483
20369.30759,20222.39658
20376.31,20229.07218
20374.3,20236.74413
20386.9703,20239.03575
20401.87853,20260.65671
20403.46196,20255.57528
20402.14,20255.67
20389.42,20241.72592
20376.93387,20232.57
20376.23132,20229.08
20367.51,20219.90569
20363.48902,20216.11953
20365.99417,20218.23
20365.39198,20218.89
20377.73679,20229.86926
20369.10546,20221.30059
20372.44648,20224.6882
20372.51784,20225.57
20373.62185,20225.7842
20379.95105,20234.91
20380.64735,20232.7587
20375.49,20229.47072
20383.69918,20237.74049
20399.59055,20253.3833
20403.19528,20260.45744
20403.12,20257.06982
20398.81329,20254.65
20385.16375,20237.24231
20390.45922,20245.61171
20392.78481,20248.80005
20406.54134,20259.38
20410.55591,20262.45015
20412.96465,20264.84141
20407.50512,20261.35416
20406.24025,20258.16581
20413.46648,20265.33959
20417.43796,20270.87
20414.97194,20267.85
20432.13423,20283.87183
20432.13423,20283.87183
20425.71092,20277.49515
20436.42662,20290.7467
20459.97303,20315.95454
20442.37139,20296.95
20448.39325,20300.01282
20432.54292,20285.06746
20422.20161,20277.19624
20420.64721,20276.00061
20418.45548,20270.62028
20418.23551,20270.32137
20428.22003,20279.98604
20424.80764,20276.59843
20426.01201,20277.79405
20419.38797,20271.77
20424.92259,20278.39187
20424.30582,20276.10025
20426.21274,20277.99333
20421.69635,20274.84
20427.45093,20279.48786
20427.64682,20282.3773
20453.58283,20305.89133
20440.16338,20291.84269
20444.07758,20295.72849
20436.65063,20288.35544
20449.97463,20304.19752
20435.74735,20287.45872
20422.90072,20274.70535
20415.95,20268.22902
20413.56684,20265.43922
20407.24389,20259.16217
20401.00797,20253.08439
20406.20495,20262.74906
20408.9149,20261.65
20407.33228,20259.56071
20398.79797,20256.47201
20398.34899,20251.68949
20398.5122,20250.49386
20400.33961,20252.98475
20406.36923,20259.85962
20406.95281,20261.55343
20407.2881,20263.54614
20403.8315,20255.77456
20402.0,20253.98111
20401.3224,20253.28366
20392.76126,20246.50843
20386.26775,20238.3383
20394.09617,20246.10989
20393.9958,20246.71
20383.75865,20235.84741
20384.66192,20237.49
20387.86052,20244.56
20396.60527,20248.63
20385.16375,20237.24231
20382.45391,20234.55214
20380.2459,20232.36016
20379.44298,20231.59
20369.10546,20223.95936
20365.39198,20217.61407
20358.46684,20211.68
20358.96867,20211.49
20365.79344,20218.31
20360.77522,20213.07
20361.77887,20214.02718
20367.59999,20219.80605
20367.59999,20219.80605
20369.30619,20221.49986
20382.15282,20234.25324
20364.99052,20217.21552
20362.07996,20216.0
20365.8938,20218.11225
20384.76229,20236.84376
20378.43934,20230.56671
20377.63642,20229.76963
20372.41748,20230.14
20368.80437,20222.65
20364.78979,20217.01625
20366.89744,20219.1086
20364.58907,20216.81698
20362.68214,20215.5
20367.39927,20220.11
20359.47049,20211.73556
20353.04717,20205.35887
20363.3116,20219.00897
20371.11274,20223.2933
20380.74772,20234.84
20371.91566,20227.61
20370.41019,20222.59585
20376.53242,20228.67363
20375.22768,20228.2
20360.47413,20215.96439
20350.73879,20205.20499
20354.653,20206.95304
20366.58239,20221.5995
20368.30254,20222.8
20359.16939,20217.24
20353.44863,20206.32
20353.66785,20207.84976
20354.95409,20207.25195
20353.14754,20206.72
20352.74608,20205.05996
20352.84644,20205.1596
20355.55,20208.94576
20365.96005,20218.71006
20359.37012,20212.44
20357.4632,20212.32842
20351.95,20206.6944
20351.3,20205.26844
20366.48,20221.49986
20357.56357,20212.79006
20365.79344,20218.46588
20366.09453,20218.86186
20370.61092,20227.30203
20365.09089,20217.76262
20367.85,20223.59223
20369.80801,20222.19181
20356.06,20211.72824
20350.13661,20204.96419
20350.53807,20202.86798
20345.41949,20197.78655
20346.42313,20198.78291
20354.25154,20206.5545
20357.66393,20210.80319
20349.0326,20206.85453
20337.18961,20189.61642
20347.52714,20199.87891
20342.20783,20194.6
20344.51621,20196.88983
20347.72786,20200.07818
20351.74244,20204.06361
20348.12932,20200.47672
20348.63114,20200.9749
20348.83187,20201.17417
20348.53078,20200.87526
20345.66,20199.58
20352.54535,20204.86069
20355.35555,20207.65049
20360.37377,20212.63228
20362.78251,20215.02354
20359.67122,20211.93483
20362.48142,20215.61
20365.49234,20220.71
20359.26976,20211.53629
20341.60564,20198.87357
20338.19326,20190.61278
20342.60929,20196.66574
20342.30819,20194.69785
20346.63,20202.27016
20373.79,20226.88019
20370.41019,20222.59585
20364.18761,20216.41844
20352.74608,20205.05996
20351.64207,20203.96397
20351.54171,20203.86433
20350.83916,20203.16688
20347.6275,20199.97854
20345.11839,20197.48765
20348.63114,20200.9749
20360.2734,20212.53264
20358.8683,20211.13774
20349.43406,20204.66
20349.13297,20204.2
20369.00509,20224.59
20366.39562,20220.65
20368.00145,20225.28
20367.39927,20227.75
20368.00145,20229.51
20363.38469,20218.16
20365.59271,20229.39
20388.3754,20249.26
20395.64546,20250.69
20394.48759,20246.45
20395.77143,20251.12
20414.75702,20267.63121
20395.90272,20250.57
20395.80236,20252.34
20391.1856,20247.67
20378.64007,20240.28
20381.24954,20239.33
20388.47577,20247.71
20390.48305,20260.88
20380.74772,20238.68
20383.65828,20242.25
20376.33169,20239.76
20376.03059,20239.25
20376.03059,20236.05
20380.54699,20238.57
20372.59019,20235.56
20370.884,20237.05
20351.9152,20213.24
20356.13049,20226.98
20363.15597,20234.23
20367.17053,20238.52
20365.59271,20234.27
20365.29162,20235.99
20361.97959,20230.16
20361.57814,20227.89
20362.38105,20230.99
20362.98324,20229.23
20360.97595,20224.2
20366.89744,20228.1
20379.34262,20237.95
20366.09453,20225.21
20356.66029,20219.83
20361.27704,20223.59
20355.85737,20215.03
20356.45956,20218.98
20356.15847,20222.52
20366.09453,20229.48
20362.58178,20221.88
20358.06539,20216.78
20363.0836,20225.49
20356.66029,20215.15
20358.76794,20217.81
20356.15847,20215.92
20357.26247,20214.3
20358.26612,20216.38
20347.12568,20206.02
20345.72058,20203.06
20345.01803,20202.3
20349.33369,20206.05
20342.10746,20199.58
20350.33734,20203.29
20350.4377,20206.65
20358.36648,20217.2
20370.81165,20226.18
20356.25883,20211.8
20339.1969,20193.13
20322.05736,20176.96268
20280.96677,20160.17
20286.91,20141.29309
20281.39,20134.31859
20289.75172,20144.08289
20291.32313,20144.42003
20293.23006,20149.28
20291.92532,20146.58
20303.18351,20159.22752
20305.87596,20166.02
20292.02568,20146.74881
20303.46721,20159.42
20305.51311,20161.1206
20286.40528,20144.43502
20292.32678,20148.38
20283.29399,20139.91
20289.41621,20145.59
20280.28306,20134.68
20311.54672,20165.87
20310.48,20165.0064
20328.06,20182.34301
20312.39963,20165.89
20309.08761,20164.11
20297.94718,20152.1
20312.60036,20165.20567
20315.41056,20168.12
20315.91239,20170.45
20317.61858,20170.97
20327.65501,20180.15103
20326.35027,20178.85576
20319.43,20176.06596
20326.35027,20178.85576
20309.48907,20167.33013
20299.8541,20153.77043
20303.46721,20158.37829
20304.0694,20158.03013
20305.27377,20157.93226
20304.1,20157.63335
20302.96539,20156.84922
20305.17341,20157.83262
20309.11,20168.79255
20309.84,20162.5155
20306.27741,20158.92862
20313.40328,20166.00275
20305.9,20164.01004
20311.22,20164.70749
20328.91,20185.73063
20325.1459,20180.0
20313.33,20170.8849
20312.39,20167.89583
20309.17,20165.50457
20298.75,20155.33188
20306.14,20162.31623
20326.85209,20180.41
20316.01275,20169.48
20330.26448,20183.00262
20321.83388,20176.84
20317.41785,20169.98818
20310.49271,20163.31418
20309.08761,20161.97
20304.47086,20157.98
20304.47086,20157.13517
20304.57122,20159.80123
20299.84946,20153.18
20296.43708,20149.16891
20303.45,20158.0365
20300.8531,20153.71
20323.73615,20178.47
20310.6888,20163.3172
20305.43,20158.63431
20306.97532,20160.53
20299.34764,20152.05835
20298.14327,20150.86272
20287.20357,20144.83066
20278.87334,20133.24724
20271.74747,20127.05
20288.30757,20143.18
20283.96877,20142.3
20281.86112,20139.19983
20270.72072,20133.9271
20268.8138,20128.01477
20264.01943,20124.66
20269.138,20132.38
20266.42817,20124.30608
20259.20194,20124.29
20280.57953,20135.30421
20278.47188,20134.39659
20292.22178,20146.17733
20283.49009,20141.01
20286.80211,20141.07133
20283.99191,20139.54923
20275.56132,20139.00686
20273.45367,20134.40946
20272.2493,20127.53
20268.33509,20127.09646
20271.54675,20124.45924
20273.45367,20128.82429
20283.89155,20141.62
20287.00284,20139.80315
20284.64,20138.90643
20287.4043,20141.73503
20284.09228,20138.47952
20295.93526,20148.67074
20299.75,20163.11792
20303.36221,20159.25493
20292.92433,20148.15477
20291.61959,20147.58354
20293.52652,20149.29913
20299.14,20152.35726
20301.14,20156.14342
20307.17605,20159.82994
20309.48443,20162.77373
20309.06,20166.70481
20314.70337,20167.30263
20314.20155,20167.71009
20314.70337,20167.30263
20299.7491,20153.42
20301.55565,20154.25034
20300.15056,20153.53
20300.65238,20153.86
20298.64509,20151.3609
20298.04291,20150.76309
20293.32579,20151.0
