Start Time: 2022-06-13 14:59:39.158992; End Time: 2022-06-14 02:39:37.034337
; Size: 4065; Interval: 10
ask,bid
22897.4,22741.99496
22879.81,22715.99002
22861.14097,22706.07
22857.02603,22693.11
22850.20126,22686.44
22881.48,22724.95724
22872.97,22713.66478
22895.93,22734.87078
22893.99185,22739.01762
22907.16,22760.03048
22934.98384,22766.92
22949.18,22782.25484
22949.05,22780.82405
22930.68,22778.76391
22971.95,22807.68688
22931.44,22765.81116
22956.67,22796.7694
22960.71,22795.99757
22966.99996,22807.51
22980.72,22817.5271
22947.12789,22812.86
22927.44369,22772.4
22914.03292,22752.29
22891.45096,22730.47
22892.25388,22730.47
22851.43043,22687.89
22856.89485,22698.25485
22801.85455,22672.23
22799.17481,22634.88648
22795.70773,22633.69085
22750.11333,22591.69
22777.70006,22618.43969
22725.23602,22590.1
22737.21067,22581.48319
22707.44552,22534.61964
22727.68002,22559.67
22751.37,22606.72183
22753.5,22587.6392
22773.08,22628.58335
22792.83,22624.76
22770.98904,22624.76
22738.37074,22595.31
22720.84,22564.08168
22735.93,22575.84087
22729.73943,22559.3817
22674.53923,22514.09
22706.55535,22545.51833
22711.57355,22547.18
22780.73,22616.84014
22776.00724,22604.71593
22782.832,22620.72
22774.20069,22620.72
22758.54391,22605.67
22777.81,22612.77022
22784.13673,22614.72
22748.65,22580.18
22768.44,22619.35607
22812.8,22643.57681
22798.75,22635.98994
22756.79,22593.04125
22756.79,22604.34211
22753.0,22583.82728
22787.55,22621.60624
22792.97,22629.11274
22751.3177,22597.28
22755.11,22592.32322
22738.06965,22571.67
22739.35,22575.2371
22739.35,22624.07536
22816.25321,22649.65943
22802.70407,22641.67
22803.2308,22645.14
22841.77067,22681.80163
22867.06246,22701.14429
22842.17213,22691.27
22799.61769,22641.79723
22791.58855,22634.97
22779.84,22619.64221
22862.63,22700.74574
22883.32146,22725.4908
22864.07943,22697.72895
22832.29976,22667.43997
22815.82,22663.85312
22834.07022,22668.86
22825.13772,22659.68
22801.65225,22651.93
22810.78549,22663.97
22826.6432,22660.56517
22845.06,22680.20073
22868.82,22703.60741
22871.40609,22710.97
22945.37527,22778.43314
22949.41,22817.58962
23017.63,22870.09716
23131.43,22966.34437
23175.44,23096.16851
23216.73,23078.83206
23227.50196,23063.96397
23244.36332,23077.57794
23178.12226,23012.17188
23215.47764,23055.21861
23193.34,23050.93431
23229.78221,23065.75
23256.50752,23102.66
23171.0967,23067.13
23132.05462,22977.46
23121.11481,22971.79
23092.61108,22931.75
23124.41336,22957.67614
23125.56,22978.49982
23145.70429,22990.87
23147.7116,22989.02
23129.04366,22967.16679
23088.13424,22923.02
23113.98479,22951.49879
23153.45989,22995.73664
23106.01126,22948.58
23135.80677,22976.70639
23109.8739,22978.11
23135.06444,22973.51808
23130.60644,22965.8462
23143.70392,22979.99434
23130.05495,22970.4294
23136.26713,22988.16
23121.69522,22959.07103
23136.87248,22981.98703
23121.49421,22962.65788
23107.99405,22950.70171
23097.90809,22943.12946
23100.44184,22943.72727
23116.5617,22963.8535
23080.06542,22918.19
23052.25,22891.71791
23050.01219,22897.22
23054.76,22894.50768
23056.67933,22892.91352
23064.37865,22898.19417
23053.19,22889.12276
23072.73876,22909.3
23070.83182,22907.69
23080.11,22935.65685
23111.22,22947.51339
23150.12036,22992.29213
23153.63314,22998.74
23163.97076,22999.19416
23162.75,22999.42312
23203.29,23043.47127
23210.9417,23045.11309
23213.18,23068.3704
23215.19561,23052.3292
23217.18,23058.19305
23204.41796,23053.69
23179.72811,23034.28
23188.68425,23023.73401
23188.05842,23020.46607
23151.32474,22992.59777
23128.04001,22965.26
23101.24045,22933.76379
23097.12751,22942.46
23100.08741,22934.16233
23101.68497,22935.85612
23105.75893,22937.64955
23089.90122,22929.81217
23056.68032,22888.92813
23046.94489,22879.26356
23046.95786,22885.34128
23078.37027,22915.82953
23090.60377,22925.54511
23035.04759,22867.60629
23027.18779,22867.90519
23015.97402,22849.75
23001.69504,22836.02205
22979.90091,22817.12
22935.23838,22768.44
22955.78725,22789.43
22979.82,22818.58597
22976.88996,22809.71847
22958.34161,22795.57033
22986.17,22828.44981
23054.73853,22890.12375
23060.16513,22899.38979
23044.53613,22879.7
23028.37733,22860.83112
23039.7186,22878.88
23073.38923,22912.44194
23043.03065,22875.3778
23055.67667,22914.94
23075.74972,22907.85874
23068.52342,22904.51
23063.2,22898.99125
23081.05,22936.25466
