Start Time: 2022-06-14 16:30:25.483711; End Time: 2022-06-15 01:53:13.289435;
Size: 3270; Interval: 10
ask,bid
22707.26218,22548.1
22740.69,22578.71252
22771.09322,22608.74
22777.78675,22613.86
22796.2536,22632.57594
22756.00798,22600.38
22734.05917,22571.54
22729.64319,22565.16193
22742.89114,22578.31398
22719.20541,22556.17044
22707.26218,22542.94293
22700.83893,22540.71
22704.66,22557.98808
22703.3174,22540.23
22667.51832,22540.23
22675.64774,22514.76
22676.46809,22514.14791
22684.47971,22520.32539
22678.15682,22514.04828
22714.48833,22550.63
22713.7263,22551.71097
22700.73856,22544.35
22715.49197,22551.11315
22701.24038,22559.18
22703.04692,22540.99
22720.71086,22556.29426
22726.63229,22562.17282
22719.90795,22559.1
22701.64183,22542.18
22693.51241,22529.2927
22691.70587,22527.49924
22662.60052,22500.39
22639.61732,22475.78777
22654.97291,22491.03219
22624.76356,22461.04153
22610.0,22451.4764
22634.19,22476.6845
22573.14311,22418.07
22583.42637,22432.59
22603.98701,22449.81013
22592.4664,22442.03838
22584.39008,22421.41336
22596.49818,22443.63258
22582.14665,22431.07823
22555.2533,22405.57096
22560.80068,22400.88799
22551.19254,22392.11986
22531.18096,22371.0963
22541.7952,22389.42964
22546.4886,22391.32276
22538.62489,22375.97855
22544.15,22381.6579
22555.08562,22395.50755
22563.16084,22406.76661
22575.7526,22413.34271
22565.55361,22403.57821
22567.22813,22408.73
22577.55441,22418.12532
22551.17017,22388.43327
22540.21729,22377.57275
22527.85268,22374.68325
22548.25894,22392.71769
22571.51986,22413.94053
22582.4508,22423.00757
22597.53753,22437.85
22591.21,22432.77207
22597.78,22441.73947
22575.85929,22412.94415
22588.50493,22425.49851
22592.82051,22429.78294
22593.19397,22425.43458
22602.9,22438.23343
22609.35226,22440.04
22590.32,22427.89489
22609.96,22438.9081
22587.17225,22426.608
22580.84945,22423.02692
22585.75,22432.12374
22580.34,22415.34454
22556.76257,22398.12762
22547.12781,22387.56
22539.78,22376.6951
22536.82,22380.51593
22567.90275,22413.56672
22555.15677,22402.46606
22543.01297,22387.35214
22568.62979,22408.66
22525.04817,22369.68
22516.41704,22356.31
22506.28048,22346.26
22500.18615,22337.81728
22485.43289,22323.17053
22508.62,22357.9175
22505.33126,22342.4738
22480.22,22319.05917
22483.88,22323.24391
22491.14999,22332.74
22486.13184,22322.82998
22506.70626,22343.69976
22529.71953,22366.68553
22507.33852,22344.46654
22520.38575,22357.41932
22526.809,22363.79607
22507.33852,22344.46654
22513.9625,22351.04256
22526.70863,22363.69643
22516.37122,22353.43385
22529.01699,22365.98808
22517.87667,22354.9284
22523.09556,22360.10951
22523.49701,22360.50806
22547.48383,22387.06
22565.24813,22401.95694
22546.37984,22383.22523
22540.65913,22377.54594
22528.81626,22368.48
22533.83443,22376.9
22512.78,22350.84329
22521.29,22358.41568
22529.92026,22366.88481
22528.91663,22365.88844
22515.36758,22353.52
22517.07376,22354.1313
22507.73997,22345.0
22514.66,22353.0353
22529.92026,22366.88481
22545.57693,22382.42814
22542.26494,22379.14013
22548.18638,22385.92
22534.53697,22372.61
22527.71227,22367.82
22531.7268,22368.67827
22525.00246,22364.27
22521.28902,22362.42
22531.42571,22368.37936
22519.38212,22364.35
22517.37485,22354.43021
22517.79,22356.0244
22511.25269,22349.71
22544.27221,22381.13286
22541.16095,22378.04412
22534.63733,22371.56773
22543.08,22381.33214
22543.08,22387.40998
22540.85986,22377.74521
22541.75,22379.43904
22535.5406,22372.46446
22547.48383,22384.32124
22529.61917,22366.5859
22559.62779,22396.37728
22558.72452,22402.53
22570.76811,22407.43696
22585.82,22423.67775
22585.0197,22421.58538
22572.1732,22410.93
22577.41,22423.2792
22586.72588,22425.73
22589.13459,22425.67049
22579.09827,22421.15
22560.22997,22397.52
22547.18274,22386.87
22542.16458,22384.24
22542.56603,22380.67
22538.75223,22379.11
22519.58284,22356.62222
22532.83079,22369.77427
22519.6,22357.22004
22524.29992,22361.30515
22514.16322,22353.75
22518.53,22358.51532
22511.45342,22348.55165
22551.81,22392.49145
22545.78,22385.61652
22539.85622,22378.91
22539.45477,22377.7
22526.00609,22362.99897
22557.92,22400.86094
22557.92,22409.33006
22575.93,22413.61444
22569.06194,22409.13
22577.47,22416.40427
22573.57829,22410.22679
22565.54922,22405.35
22551.69909,22388.50598
22515.26722,22387.91
22507.33852,22349.75
22494.69275,22331.91231
22487.56696,22324.8381
22498.1051,22335.29996
22489.77495,22327.03011
22497.8,22337.39233
22491.48112,22329.11
22494.69275,22331.91231
22492.68548,22331.84
22520.12,22360.10951
22506.19,22345.164
22514.46431,22351.54075
22517.47521,22354.52985
22557.55,22398.66893
22552.60236,22389.40271
22543.4693,22380.33577
22564.14414,22400.86094
22563.44159,22401.89
22546.07875,22382.92632
22525.90573,22369.27
22557.4198,22394.76
22564.54,22404.74677
22568.56012,22405.24495
22579.09827,22415.70681
22565.54922,22406.33
22587.04,22428.16
22572.87574,22419.81
22564.84668,22423.04
22579.19863,22416.91
22589.53605,22426.06903
22595.65821,22432.14687
22587.72951,22429.45
22571.97247,22408.6326
22569.56376,22406.24132
22588.93,22427.56358
22590.94113,22432.56
22607.80216,22444.20292
22606.26,22444.00365
22628.3,22465.22627
22638.11188,22479.17
22663.2027,22499.2024
22651.25947,22492.14
22678.05646,22513.94864
22659.28853,22497.96451
22672.53648,22508.46862
22661.29579,22502.3
22675.14593,22512.3
22676.45065,22512.35445
22658.98744,22502.08
22654.47109,22491.63
22654.37073,22493.68
22653.86891,22489.93619
22651.96201,22488.04309
22653.16637,22489.23873
22641.72495,22483.45
22653.73,22490.43437
22641.3235,22485.23
22639.61732,22485.23
22649.85438,22488.17
22621.25084,22466.21
22618.54104,22460.81
22625.76719,22462.13
22639.87,22480.1
22663.40342,22502.57
22676.35029,22516.36
22675.14593,22516.53
22635.57,22476.48523
22627.3,22467.71719
22643.83258,22480.31
22647.48,22484.35653
22647.3453,22484.96
22629.88209,22466.123
22627.96,22470.00884
22629.78172,22466.02337
22609.80943,22450.69
22618.41,22455.2626
22624.76356,22461.04153
22630.83,22468.8132
22630.83,22482.6627
22651.87,22489.53764
22648.65002,22484.75507
22658.48562,22494.51948
22654.67182,22490.73328
22653.46746,22497.91
22665.65832,22508.36898
22660.49517,22498.70422
22667.42085,22510.26208
22690.64429,22533.97563
22704.05055,22542.72
22710.35847,22552.24
22703.50138,22544.53712
22720.61049,22564.08
22726.83073,22566.1
22713.85552,22557.83
22715.59233,22556.99
22715.54212,22551.8106
22683.97789,22520.08
22660.09143,22498.2
22664.2,22505.28024
22660.89434,22496.91076
