Start Time: 2022-06-12 14:46:40.283702;
End Time: 2022-06-12 16:16:23.832696
ask,bid
27644.72423,27450.78518
27665.61833,27470.98607
27662.12532,27469.51081
27673.6,27481.04938
27661.38453,27466.51331
27660.79156,27464.5409
27665.2987,27465.80982
27677.64373,27483.34103
27670.88277,27475.56936
27667.26988,27472.28135
27670.41723,27476.97432
27669.77077,27473.96554
27676.75977,27482.4443
27682.90861,27485.63267
27679.92107,27487.17588
27680.25283,27484.03004
27689.71,27497.93823
27692.80336,27496.60268
27694.40405,27503.97964
27702.32096,27502.96947
27700.84275,27506.28897
27696.31095,27502.55642
27670.71832,27479.09041
27661.78599,27469.436
27670.01505,27470.98607
27678.84774,27482.38321
27678.6185,27484.61082
27668.51033,27477.3771
27688.19,27494.24826
27679.65065,27490.4539
27667.30597,27477.38311
27682.80631,27485.04605
27686.47535,27493.83504
27687.47898,27493.03619
27675.83684,27481.83465
27675.33503,27479.76937
27659.17654,27469.65148
27665.39544,27467.5652
27656.46673,27464.21782
27677.78679,27483.63994
27691.87038,27503.16874
27698.80353,27507.89864
27698.01712,27499.96129
27725.81775,27525.18847
27717.4876,27516.91862
27723.56,27525.76
27745.83174,27546.90928
27737.05843,27543.12114
27725.1152,27528.99677
27732.79,27535.08347
27814.53887,27621.42262
27796.57,27598.57779
27795.47,27602.23656
27798.98256,27604.5883
27863.27,27665.07849
27889.81131,27704.04712
27856.18962,27665.28857
27847.45802,27645.94823
27868.57,27676.43708
27851.47255,27653.72
27829.39263,27638.02092
27860.30451,27660.5511
27886.39896,27694.22056
27918.11375,27721.15452
27932.39,27734.77899
27929.55516,27738.49107
27934.43,27739.04344
27959.22,27761.62947
27938.99154,27744.71422
27942.39,27758.60905
27949.42735,27748.36336
27935.02009,27737.71
27899.56113,27706.51742
27894.71,27701.97848
27887.45849,27695.08404
27914.05631,27714.5027
27889.0118,27693.78674
27866.90185,27685.93
27869.93939,27669.20714
27872.03,27676.93526
27893.02294,27697.18855
27904.61704,27706.10199
27903.09,27704.4694
27932.1957,27737.94744
27948.25789,27753.96
27975.66719,27793.11173
27965.18412,27807.83
27955.64961,27753.35666
28014.86393,27812.14235
27976.62553,27782.55496
27974.81899,27786.93424
27986.86258,27787.6
28006.33306,27806.38613
27984.25314,27792.55413
27975.78948,27772.90762
27971.93008,27775.20585
27965.23172,27763.56
27975.67342,27781.1899
27992.4,27798.36622
27976.4415,27776.5
27990.12783,27786.08232
27989.72481,27790.53729
28015.58248,27815.56467
28012.22502,27813.34447
28013.55327,27815.06472
28014.05841,27815.15083
28011.23,27806.69794
28022.99706,27820.7461
28012.84744,27820.27
27986.89395,27789.18826
27989.56541,27790.92283
27978.69755,27779.84
27977.02637,27776.49438
27966.54786,27772.63
27958.35,27759.76034
27944.26166,27741.23546
27926.17499,27724.8
27911.75822,27714.78
27914.65589,27714.78
27892.37921,27714.78
27892.60923,27691.61623
27926.58476,27730.07611
27933.35221,27730.39628
27918.2718,27714.73201
27896.71333,27701.03763
27888.46577,27682.52155
27876.05538,27680.87574
27873.00533,27676.37176
27881.24756,27682.82151
27892.22,27693.31006
27886.13088,27688.17982
27875.08267,27675.21887
27875.06952,27680.35724
27865.78078,27665.81024
27871.99966,27682.74853
27893.11649,27700.58356
27892.49681,27700.18501
27893.9195,27697.1959
27890.39105,27696.09989
27867.53627,27670.84
27869.53793,27667.86832
27864.96005,27667.64
27862.21141,27667.23
27861.3705,27663.98248
27851.32659,27650.83043
27850.98144,27650.63116
27841.73731,27640.26893
27834.51115,27646.3
27843.84494,27647.44
27849.43706,27655.11481
27881.06451,27688.79204
27876.03326,27682.41528
27847.35765,27645.84859
